# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"Action","anchor_id":"FILE1_Z0_XY1","type":2,"desc":"","options":{"0":"Playing","1":"Sitting","2":"Walking","3":"Falling","4":"Stand watching"},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_eoL3U6c1","[""IMG_5406_00002.jpg""]",0,"[]","[2,953.096,530.373,2.625,0]","{}"
"1_pB7A0lvS","[""IMG_5406_00002.jpg""]",0,"[]","[2,953.09562,351.8318,280.0646,575.883]","{""1"":""0""}"
"1_4Xu4Fp7T","[""IMG_5406_00002.jpg""]",0,"[]","[2,268.68738,383.33916,255.559,541.75]","{""1"":""0""}"
"1_bGh8iqPX","[""IMG_5406_00002.jpg""]",0,"[]","[2,1388.0718,589.01178,150.534,178.541]","{""1"":""0""}"
"2_jAGcCVMk","[""IMG_5406_00003.jpg""]",0,"[]","[2,383.33906,385.08963,284.441,584.635]","{""1"":""0""}"
"2_Sh3xXxtW","[""IMG_5406_00003.jpg""]",0,"[]","[2,775.42919,358.83318,214.425,596.888]","{""1"":""0""}"
"2_PT2FHMGY","[""IMG_5406_00003.jpg""]",0,"[]","[2,1455.46154,512.86914,143.534,254.684]","{""1"":""0""}"
"3_zKtMrDwW","[""IMG_5406_00004.jpg""]",0,"[]","[2,950.47023,534.749,124.279,229.303]","{""1"":""0""}"
"3_TqvMA4LD","[""IMG_5406_00004.jpg""]",0,"[]","[2,492.739,339.579,314.198,686.158]","{""1"":""0""}"
"3_ebpLTDzZ","[""IMG_5406_00004.jpg""]",0,"[]","[2,1689.14076,507.61759,117.277,262.561]","{""1"":""0""}"
"4_StBE1AEp","[""IMG_5406_00005.jpg""]",0,"[]","[2,425.348,364.959,3.501,0.876]","{}"
